date,NO2_Density
2025-06-08,2.3053816725567287E-5
2025-06-09,8.36440481823458E-6
2025-06-15,4.404872999222304E-5
2025-06-18,4.30284380854716E-5
2025-06-24,1.378030585111114E-5
2025-06-27,1.5796860643551464E-5
2025-06-29,2.1907311327303854E-5
2025-06-30,1.0501803203152209E-5
2025-07-01,1.1254378792686522E-5
2025-07-03,1.5678560576132197E-5
2025-07-04,2.0657429241263392E-5
2025-07-05,2.4427266907886335E-5
2025-07-06,1.623450953048262E-5
2025-07-09,2.108053740813166E-5
2025-07-10,1.812734262785545E-5
2025-07-15,2.3770167899791595E-5
2025-07-16,1.932339910127399E-5
2025-07-18,4.5710826270821325E-6
2025-07-28,2.2324087145519447E-5
2025-07-29,1.7611568182479854E-5
2025-07-30,2.825013871189214E-5
2025-08-01,3.384537922103151E-5
2025-08-06,3.58155339199703E-5
2025-08-07,3.3932490623567346E-5
2025-08-10,1.1704836189490727E-5
2025-08-13,2.377488272032559E-5
2025-08-15,2.3631781004959186E-5
2025-08-18,2.2890953914619203E-5
2025-08-19,2.1400521291077726E-5
2025-08-20,1.2067920579287972E-5
2025-08-21,4.366573122649031E-5
2025-08-22,2.6273984985900457E-5
2025-08-24,2.6140753107037697E-5
2025-08-25,3.391526142345163E-5
2025-08-29,3.145537993988136E-5
2025-08-31,1.4625121299463444E-5
2025-09-01,1.3364646292761683E-5
2025-09-02,6.617236067543142E-6
2025-09-04,6.0754714766286805E-6
2025-09-06,1.7383552403777092E-5
2025-09-07,9.763948582989148E-6
2025-09-08,6.204672536116292E-5
2025-09-12,2.9826695372615336E-5
2025-09-13,4.001101115137736E-5
2025-09-21,1.6677127860026386E-5
2025-09-22,1.6944985602403347E-5
2025-09-30,3.660538641271466E-5
2025-10-02,2.0425255570451065E-5
2025-10-03,5.189540024732101E-5
2025-10-08,3.175058736816172E-5
2025-10-09,3.0077894879377015E-5
2025-10-10,1.2573147934042305E-5
2025-10-13,2.6628014893512706E-5
2025-10-30,2.905581223731516E-5
2025-11-09,4.187698505121743E-5
2025-11-11,2.738056537055854E-5
2025-11-14,2.2757138140157905E-5
2025-11-16,2.6474999540481836E-6
2025-11-20,2.3074646378525746E-5
2025-11-30,2.1880381609669703E-5
2025-12-01,2.2537780446427456E-5
2025-12-03,2.45044458570576E-5
2025-12-07,3.4681455872498796E-5
2025-12-08,2.4938908764705452E-5
2025-12-09,1.0409741662446142E-5
2025-12-13,3.0321038138946347E-5
2025-12-15,1.3254618352225262E-5
2025-12-18,2.5412789909759598E-5
2025-12-20,1.759382575983766E-5
2025-12-22,2.0533756205913546E-5
2025-12-23,2.8367411340360795E-5
2025-12-24,3.2056399504664755E-5
2025-12-25,8.762713150648051E-6
2025-12-26,4.5113149099066935E-5
2025-12-28,1.8649721524285262E-5
2025-12-29,2.9163113350584363E-5
2025-12-30,1.4851430023559646E-5
